SMD,votes_2022
5A07,28.571428571428573
5A08,49.379065641632174
5A09,36.10687022900763
5B01,54.20808482438701
5B02,50.02832861189802
5B03,50.2092050209205
5B04,41.81818181818182
5B05,49.05450500556174
5B06,48.37905236907731
5B07,45.53314121037464
5C01,43.81563593932322
5C02,38.840070298769774
5C03,39.92974238875878
5C04,36.41732283464567
5C05,33.7736932797243
5C06,26.456876456876458
5C07,41.89373297002725
5D01,42.54237288135593
5D02,20.068317677198976
5D03,40.51724137931034
5D04,36.612339930151336
5D05,31.455696202531644
5D06,35.09561304836895
5D07,26.793943383805136
5D08,29.826989619377162
5D09,21.771217712177123
5E01,31.2472647702407
5E02,37.88209606986899
5E03,41.67528438469493
5E04,40.78583287216381
5E05,41.53577661431065
5E06,34.750462107208875
5F01,42.349726775956285
5F02,40.56103108415466
5F03,23.813169984686063
5F04,39.06167633104902
5F05,40.698308783415165
5F06,39.8421052631579
5F07,36.29592850049652
6A01,42.76056338028169
6A02,41.80522565320665
6A03,51.03448275862069
6A04,58.19178082191781
6A05,48.35630965005302
6A06,46.52173913043478
6A07,50.60168471720818
6B01,52.92228644829801
6B02,49.76825028968714
6B03,46.5195246179966
6B04,51.01910828025478
6B05,51.306990881458965
6B06,53.549807374793616
6B07,50.37110341415141
6B08,32.078749276201506
6B09,47.60692464358452
6C01,42.384483742156306
6C02,48.259010384850335
6C03,52.083333333333336
6C04,43.730886850152906
6C05,48.23273518216422
6C06,42.11618257261411
6C07,43.424317617866
6D01,39.43355119825708
6D02,40.1178361006963
6D03,40.43778801843318
6D04,36.193548387096776
6D05,33.21234119782214
6D06,49.03948772678762
6D07,49.66740576496674
6D08,30.573248407643312
6E01,36.06431852986218
6E02,37.73069036226931
6E03,30.408858603066438
6E04,26.161543959971407
6E05,27.583586626139816
6E06,32.83678756476684
6E07,28.0
6E08,32.76661514683153
6E09,35.0104821802935
7B01,25.590551181102363
7B02,47.20638540478905
7B03,27.92091072498502
7B04,42.03860072376357
7B05,37.13333333333333
7B06,43.42473419138221
7B07,46.41975308641975
7B08,37.95826283135928
7B09,23.755102040816325
7C01,25.52238805970149
7C02,27.248850952068285
7C03,27.300242130750604
7C04,29.96978851963746
7C05,27.527018436109344
7C06,31.14565342544617
7C07,31.59117305458769
7C08,32.33532934131737
7C09,28.757319453480807
7D01,28.834759710335746
7D02,19.04191616766467
7D03,32.0109439124487
7D04,40.5686167304538
7D05,39.89667049368542
7D06,30.733641771315266
7D07,36.88622754491018
7D08,39.97308209959623
7D09,46.95493300852619
7D10,50.467289719626166
7E01,36.14177803602556
7E02,31.695501730103807
7E03,22.344322344322343
7E04,27.941176470588236
7E05,24.44603288062902
7E06,27.458492975734355
7E07,21.969189551239115
7F01,21.623931623931625
7F02,31.476510067114095
7F03,27.563722584469474
7F04,33.163841807909606
7F05,31.05629348513599
7F06,16.88632619439868
7F07,30.47735618115055
7F08,25.0
8A01,27.985948477751755
8A02,28.88888888888889
8A03,34.90683229813665
8A04,23.097826086956523
8A05,20.577395577395578
8A06,25.02596053997923
8A07,27.681438664097623
8B01,23.266986959505832
8B02,28.203184230477635
